Year,country,gdppc,unempf,unempm,unemp,export,import,polity,polity2
1980,Albania,4143.4,,,,,,-9,-9
1981,Albania,4280.4,,,,,,-9,-9
1982,Albania,4307.28,,,,,,-9,-9
1983,Albania,4256.12,,,,,,-9,-9
1984,Albania,4103.47,,,,,,-9,-9
1985,Albania,4072.59,,,,,,-9,-9
1986,Albania,4187.49,,,,,,-9,-9
1987,Albania,4040.41,,,,,,-9,-9
1988,Albania,3881.66,,,,,,-9,-9
1989,Albania,4178.35,,,,,,-9,-9
1990,Albania,3731.69,,,,,,1,1
1991,Albania,2617.74,,,,131671759.3,264926212.7,1,1
1992,Albania,2438.36,,,,204881204.2,830013570.3,5,5
1993,Albania,2695.57,,,,349937013.8,908948721.5,5,5
1994,Albania,2947.69,,,,314934892.4,850739690.4,5,5
1995,Albania,3366.1,,,,384042370.1,879102728,5,5
1996,Albania,3690.9,,,,443025544.3,1181978542,0,0
1997,Albania,3324.1,,,,294994895.9,981074372.4,5,5
1998,Albania,3752.87,,,,396334188,1206406309,5,5
1999,Albania,4141.26,,,,818800681.6,1485134282,5,5
2000,Albania,4461.05,,,,1000949819,1939737448,5,5
2001,Albania,4800.72,0.284,0.188,0.227,1232927521,2261879450,5,5
2002,Albania,4973.98,0,0,0,1312107521,2882439318,7,7
2003,Albania,5296.79,0,0,0,1477936736,3192603338,7,7
2004,Albania,5649.75,0,0,0,1740097040,3523680170,7,7
2005,Albania,5997.9,0,0,0,1865700000,3880500000,9,9
2006,Albania,6330.59,0,0,0,1963251415,4181793344,9,9
2007,Albania,6732.37,0.122,0.144,0.135,2115887161,5360140914,9,9
2008,Albania,7272.84,0.135,0.125,0.13,2266000735,6492186489,9,9
2009,Albania,7525.78,0.159,0.122,0.138,2398543513,5667591338,9,9
2010,Albania,7791.76,0,0,0,2515620155,5489091260,9,9
2011,Albania,8015.99,0,0,0,2682590854,6145268351,9,9
2012,Albania,8059.17,0,0,0,2848363655,6042427908,9,9
1980,Algeria,6141.41,0,0,0,19656379634,23776801014,-9,-9
1981,Algeria,6127.83,0,0,0,19715348570,27652418238,-9,-9
1982,Algeria,6311.96,0,0,0,21726313501,27182327867,-9,-9
1983,Algeria,6439.86,0,0,0,23073345847,28867633237,-9,-9
1984,Algeria,6586.44,0,0,0,24388526686,29589323081,-9,-9
1985,Algeria,6621.79,0,0,0,25022627791,31275914471,-9,-9
1986,Algeria,6452.84,0,0,0,24947560678,24395214235,-9,-9
1987,Algeria,6226.13,0,0,0,26444412702,17393786237,-9,-9
1988,Algeria,5995.78,0,0,0,26550190007,17985175277,-9,-9
1989,Algeria,6095.21,0.159,0.172,0.169,28674205785,21006686146,-2,-2
1990,Algeria,5988.7,0,0,0.198,29649128839,18948030255,-2,-2
1991,Algeria,5772.96,0.17,0.217,0.206,29382288959,15556332553,-2,-2
1992,Algeria,5739.96,0.203,0.242,0.23,30528195810,16271924177,-7,-7
1993,Algeria,5495.21,0,0,0.232,29948162188,15181704904,-7,-7
1994,Algeria,5333.02,0,0,0.244,28929923969,16107788822,-7,-7
1995,Algeria,5429.42,0.384,0.26,0.279,30752508337,16429945507,-3,-3
1996,Algeria,5551.7,0,0,0,33058947039,14244761927,-3,-3
1997,Algeria,5520.24,0.262,0.253,0.254,35141661909,14586636585,-3,-3
1998,Algeria,5712.37,0,0,0,35739067769,15651461424,-3,-3
1999,Algeria,5809.24,0,0,0,37883413682,15917536019,-3,-3
2000,Algeria,5854.09,0.297,0.298,0.298,40118533866,15774278228,-3,-3
2001,Algeria,5925.83,0,0,0.273,39035334444,16389475413,-3,-3
2002,Algeria,6123.81,0,0,0.259,41182277536,19585421642,-3,-3
2003,Algeria,6460.97,0.254,0.234,0.237,44147401080,20055472505,-3,-3
2004,Algeria,6703.93,0.213,0.198,0.201,45957443961,22682740475,2,2
2005,Algeria,6942.19,0.175,0.149,0.153,48760848742,24837599975,2,2
2006,Algeria,6968.93,0.144,0.118,0.123,47590588372,24390523175,2,2
2007,Algeria,7057.36,0.184,0.129,0.138,47305044841,26244202936,2,2
2008,Algeria,7099.64,0.174,0.1,0.113,48061925559,27976320330,2,2
2009,Algeria,7138.56,0.181,0.086,0.102,46601608312,32637936500,2,2
2010,Algeria,7259.96,0.191,0.081,0.1,,,2,2
2011,Algeria,7296.37,0,0,0,,,2,2
2012,Algeria,7339.09,0,0,0,,,2,2
1985,Angola,3008.48,0,0,0,,,-7,-7
1986,Angola,3007.43,0,0,0,,,-7,-7
1987,Angola,3163.45,0,0,0,,,-7,-7
1988,Angola,3259.78,0,0,0,,,-7,-7
1989,Angola,3190.42,0,0,0,,,-7,-7
1990,Angola,3093.83,0,0,0,,,-7,-7
1991,Angola,2965.2,0,0,0,,,-88,-3
1992,Angola,2672.78,0,0,0,,,-77,0
1993,Angola,1947.23,0,0,0,,,-88,-1
1994,Angola,1951.66,0,0,0,,,-88,-1
1995,Angola,2090.29,0,0,0,,,-88,-2
1996,Angola,2259.62,0,0,0,,,-88,-2
1997,Angola,2373.43,0,0,0,,,-3,-3
1998,Angola,2468.15,0,0,0,,,-3,-3
1999,Angola,2477.75,0,0,0,,,-3,-3
2000,Angola,2476.44,0,0,0,,,-3,-3
2001,Angola,2472.51,0,0,0,,,-3,-3
2002,Angola,2735.46,0,0,0,17075339804,8499857112,-2,-2
2003,Angola,2728.01,0,0,0,16545336338,9358830927,-2,-2
2004,Angola,2927.6,0,0,0,18951638929,11003880563,-2,-2
2005,Angola,3343.43,0,0,0,24285932876,15144342985,-2,-2
2006,Angola,3900.41,0,0,0,27747035647,15265816428,-2,-2
2007,Angola,4622.25,0,0,0,32596655571,22619720547,-2,-2
2008,Angola,5088.1,0,0,0,35894245884,32891752841,-2,-2
2009,Angola,5042.32,0,0,0,34949127433,35246590157,-2,-2
2010,Angola,5048.11,0,0,0,28121018548,33915374882,-2,-2
2011,Angola,5081.8,0,0,0,26336071962,38188122059,-2,-2
2012,Angola,5262.03,0,0,0,28639904088,45061984029,-2,-2
1980,Argentina,10079.33,0,0,0.023,10669564156,15106744551,-9,-9
1981,Argentina,9362.7,0,0,0.045,11224798290,13862111310,-8,-8
1982,Argentina,8763.83,0,0,0.048,11667790848,7959628096,-8,-8
1983,Argentina,8965.41,0,0,0.042,11969123891,7408525273,8,8
1984,Argentina,9025.37,0,0,0.038,11658944291,7757104644,8,8
1985,Argentina,8215.88,0,0,0.053,13472379279,6745738803,8,8
1986,Argentina,8731.69,0,0,0.044,12088719952,7951029781,8,8
1987,Argentina,8854.08,0.066,0.045,0.053,11667790848,8864218890,8,8
1988,Argentina,8502.93,0.072,0.053,0.06,13851950594,8047997596,8,8
1989,Argentina,7753.74,0.078,0.07,0.073,14881195355,6718734941,7,7
1990,Argentina,7462.31,0.073,0.073,0.073,17561537240,6591084569,7,7
1991,Argentina,8293.29,0.061,0.056,0.058,16925081782,11867623363,7,7
1992,Argentina,9160.16,0.07,0.064,0.067,16750805160,19662748542,7,7
1993,Argentina,9575.23,0.127,0.085,0.101,17418023004,22574134858,7,7
1994,Argentina,10005.21,0.144,0.107,0.121,20082208718,27344282821,7,7
